iter	MultiClass
0	1.485584633
1	1.379553297
2	1.29792223
3	1.215292415
4	1.173804168
5	1.123621495
6	1.09232274
7	1.061833883
8	1.032486188
9	0.9917108405
10	0.9685721764
11	0.9344477467
12	0.9059304219
13	0.8901405809
14	0.8792737928
15	0.8607350665
16	0.8416619692
17	0.8336773407
18	0.8109070852
19	0.798348107
20	0.7801790824
21	0.7627543636
22	0.7555737795
23	0.7438124495
24	0.7313594644
25	0.723251218
26	0.712746647
27	0.7040909038
28	0.6928570157
29	0.6761971537
30	0.6628931632
31	0.6546411353
32	0.6468342298
33	0.6340031778
34	0.6247852278
35	0.616204065
36	0.602749982
37	0.5930550906
38	0.5906674665
39	0.5751792831
40	0.5658867163
41	0.5601257755
42	0.5557399681
43	0.5488012199
44	0.5420002318
45	0.5372325783
46	0.5295187099
47	0.5212311311
48	0.5120239795
49	0.50237625
50	0.4958232164
51	0.4908368057
52	0.4841177253
53	0.4771604259
54	0.4752628047
55	0.4689478306
56	0.4626028457
57	0.4605264369
58	0.452914307
59	0.4485558813
60	0.4425153957
61	0.4410654677
62	0.4381758869
63	0.4363340045
64	0.4338856115
65	0.4322076122
66	0.4305222357
67	0.4240343799
68	0.4203089578
69	0.4175307501
70	0.4145909884
71	0.4117359923
72	0.4068960963
73	0.4051662159
74	0.3980098092
75	0.3950144846
76	0.3887804167
77	0.3811132516
78	0.378541624
79	0.3730085046
80	0.3653711848
81	0.3629070248
82	0.3578056243
83	0.3542977044
84	0.3476427266
85	0.3463217756
86	0.3445042908
87	0.3434137136
88	0.3392516336
89	0.3355396421
90	0.3317163896
91	0.3293062704
92	0.3242472933
93	0.3204393369
94	0.3178157895
95	0.3129122299
96	0.3100355255
97	0.3066298683
98	0.3047890879
99	0.3015568885
100	0.2985120541
101	0.2963820784
102	0.2918542672
103	0.2889574888
104	0.2877157247
105	0.2852169539
106	0.283045655
107	0.2820865028
108	0.2798490609
109	0.2764459432
110	0.2739258255
111	0.2730922341
112	0.2719023811
113	0.2707233498
114	0.2677961562
115	0.2670574436
116	0.2623349212
117	0.2618217287
118	0.2579302352
119	0.2552553641
120	0.2519911626
121	0.2497254321
122	0.2481663282
123	0.2450931776
124	0.2432960727
125	0.2416391556
126	0.2397635141
127	0.2359124319
128	0.2324513026
129	0.2305036483
130	0.2293686886
131	0.2288162064
132	0.2282586109
133	0.2274238403
134	0.2234213518
135	0.2227033919
136	0.2222693831
137	0.2207664021
138	0.2204134057
139	0.2183813625
140	0.2172783905
141	0.2142137863
142	0.2111700609
143	0.2100793747
144	0.2094321427
145	0.2089578957
146	0.206723989
147	0.2051482854
148	0.2027708811
149	0.201032825
150	0.1991797922
151	0.1970647108
152	0.1963055543
153	0.1953211729
154	0.194682824
155	0.1940155652
156	0.1923244802
157	0.1911062642
158	0.1889478498
159	0.187109807
160	0.1855756984
161	0.1846721321
162	0.1810488749
163	0.1781338865
164	0.1771122515
165	0.1754047199
166	0.1729434198
167	0.1720890461
168	0.1706062376
169	0.1694220418
170	0.1689491534
171	0.16668807
172	0.1653201383
173	0.1644541078
174	0.1640205178
175	0.1632853288
176	0.1622096635
177	0.1614796039
178	0.1604331772
179	0.1595824847
180	0.1591112396
181	0.1565204991
182	0.1557513092
183	0.15457693
184	0.1535939403
185	0.1518487647
186	0.1514469578
187	0.1507498413
188	0.1489148065
189	0.1476130646
190	0.1454962491
191	0.1450322177
192	0.1435053567
193	0.1433237586
194	0.1429747813
195	0.1409460585
196	0.1401802314
197	0.1392413428
198	0.136883981
199	0.1353258383
