iter	Passed	Remaining
0	2	434
1	3	344
2	4	310
3	6	320
4	8	348
5	10	349
6	12	349
7	14	350
8	16	355
9	18	346
10	19	339
11	21	341
12	25	363
13	27	363
14	28	357
15	30	349
16	32	348
17	33	341
18	35	335
19	36	332
20	40	342
21	41	339
22	43	337
23	45	336
24	47	333
25	49	332
26	51	327
27	53	330
28	56	335
29	59	335
30	61	332
31	62	328
32	64	328
33	66	323
34	67	319
35	71	325
36	73	321
37	74	318
38	76	314
39	77	310
40	79	308
41	80	304
42	82	301
43	85	303
44	87	300
45	89	298
46	90	295
47	92	292
48	94	290
49	95	286
50	98	287
51	101	289
52	103	287
53	105	283
54	107	282
55	108	279
56	110	277
57	112	274
58	113	271
59	116	272
60	118	269
61	119	267
62	121	264
63	122	261
64	124	258
65	125	255
66	127	252
67	128	249
68	130	247
69	132	246
70	134	244
71	135	241
72	137	238
73	138	236
74	140	234
75	142	231
76	143	228
77	144	226
78	147	226
79	149	224
80	151	222
81	153	220
82	154	218
83	156	215
84	157	213
85	159	211
86	160	209
87	163	208
88	165	205
89	166	204
90	168	201
91	169	199
92	171	197
93	172	194
94	174	192
95	175	190
96	178	189
97	180	187
98	182	186
99	183	183
100	185	181
101	187	179
102	188	177
103	189	175
104	191	173
105	194	172
106	195	170
107	197	168
108	199	166
109	200	164
110	202	162
111	203	160
112	205	157
113	206	156
114	209	155
115	211	153
116	213	151
117	214	149
118	216	147
119	217	145
120	219	143
121	220	140
122	221	138
123	225	137
124	226	135
125	228	134
126	229	132
127	231	130
128	232	128
129	234	126
130	235	124
131	237	122
132	240	121
133	241	119
134	243	117
135	244	115
136	246	113
137	248	111
138	249	109
139	250	107
140	252	105
141	254	104
142	256	102
143	257	100
144	259	98
145	261	96
146	262	94
147	264	92
148	265	90
149	267	89
150	270	87
151	272	85
152	273	84
153	275	82
154	276	80
155	278	78
156	280	76
157	281	74
158	283	73
159	286	71
160	287	69
161	289	67
162	290	66
163	292	64
164	293	62
165	295	60
166	296	58
167	298	56
168	301	55
169	302	53
170	304	51
171	306	49
172	307	48
173	309	46
174	310	44
175	313	42
176	317	41
177	319	39
178	321	37
179	323	35
180	324	34
181	327	32
182	328	30
183	331	28
184	333	27
185	335	25
186	337	23
187	339	21
188	341	19
189	342	18
190	344	16
191	347	14
192	349	12
193	351	10
194	353	9
195	354	7
196	356	5
197	358	3
198	359	1
199	361	0
